driverId,name,ssn,location,certified,wage-plan
10,Kara Young,296-02-0213,"805 Wood Summit
Bennetttown, ND 39365",N,hours
11,Nicholas Morris,835-19-6571,"423 Brian Manor
East Mary, IA 47502",Y,miles
12,Bradley Smith,087-92-8222,"8901 Stephen Alley
Hollyside, GA 77722",N,hours
13,Diane Brown,296-29-7266,"1402 Mary Wells
New Davidtown, DC 07738",N,hours
14,Kimberly Robbins,233-52-2461,"51851 Williams Spurs Suite 793
Elizabethside, WI 65518",N,miles
15,Suzanne Bennett,678-31-0914,"7408 Rachel Radial
West Jacobberg, IA 54723",N,hours
16,Tammy Romero,338-30-8456,"USNS King
FPO AP 71486",N,miles
17,Sarah Martin,453-35-8979,"PSC 9378, Box 9665
APO AP 61981",Y,hours
18,Brandi Cisneros,052-35-9950,"55824 Carla Burgs Apt. 477
Torresfort, ND 86526",N,miles
19,Eric Manning,485-84-0436,"56395 Stephen Underpass
Williamsmouth, RI 94237",Y,miles
20,Kristina Morgan,500-67-2403,"80246 Harmon Skyway Apt. 215
Lake Angelastad, PA 43977",N,miles
21,James Johnson,367-44-9404,"Unit 6730 Box 2594
DPO AE 25966",Y,miles
22,Debra Austin,406-01-3093,"989 Shaw Forest
North Williamfort, VA 33163",Y,hours
23,Brandon Haas,443-19-0418,"212 Phillips Ports
Allenstad, ME 49382",N,hours
24,Dylan Huang,375-25-9286,"2988 Padilla Locks
North Stephen, MN 30061",Y,miles
25,Cassandra Fuller,503-92-3620,"10966 Koch Shoals Suite 635
Gordonbury, MI 13456",N,hours
26,Susan Lane,577-64-9005,"1600 Mckee Course Apt. 791
Kathleenton, IA 33621",N,miles
27,David Yates,208-95-9113,"0295 Matthew Island Suite 939
Johntown, CT 87238",Y,hours
28,Jonathan Bishop,321-14-0417,"7376 Ramos Mount
Jonesmouth, AZ 59610",N,miles
29,Christopher Rocha,212-66-3034,"350 Alvarado Neck Apt. 257
South Ebonyshire, MS 44724",N,hours
30,Dr. Christopher Wyatt,765-58-6435,"141 Richard Crescent Suite 637
Rodriguezside, MH 42248",N,hours
31,Joshua Robertson,868-67-9730,"44031 Robert Via
East Nicole, LA 65350",Y,hours
32,Christopher Harper,330-14-3130,"92465 George Islands Suite 173
North Brianna, AZ 64132",N,miles
33,Eric Bryant,757-72-8565,"74968 Schwartz Alley Suite 637
Laurafort, NE 79405",N,miles
34,Sarah Carpenter,546-42-9037,"877 Michael Skyway Apt. 608
West Michaelside, FL 16715",Y,miles
35,William Thompson,664-44-1148,"00682 Justin Plain Suite 555
Port Dawn, IL 82676",N,hours
